,response_mode,id,url,name,abbrev,type,featured,country,description,administrator,founding_year,launchers,spacecraft,parent,image,logo,social_logo
0,normal,121,https://lldev.thespacedevs.com/2.3.0/agencies/121/,SpaceX,SpX,"{'id': 3, 'name': 'Commercial'}",TRUE,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]","Space Exploration Technologies Corp., known as SpaceX, is an American aerospace manufacturer and space transport services company headquartered in Hawthorne, California. It was founded in 2002 by entrepreneur Elon Musk with the goal of reducing space transportation costs and enabling the colonization of Mars. SpaceX operates from many pads, on the East Coast of the US they operate from SLC-40 at Cape Canaveral Space Force Station and historic LC-39A at Kennedy Space Center. They also operate from SLC-4E at Vandenberg Space Force Base, California, usually for polar launches. Another launch site is being developed at Boca Chica, Texas.",CEO: Elon Musk,2002,Falcon | Starship,Dragon,,"{'id': 1736, 'name': 'Falcon 9 liftoff from LC-39A', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon_9_image_20230807133459.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305193628.jpeg', 'credit': 'SpaceX', 'license': {'id': 5, 'name': 'CC BY-NC 2.0', 'priority': 1, 'link': 'https://creativecommons.org/licenses/by-nc/2.0/'}, 'single_use': False, 'variants': []}","{'id': 186, 'name': 'SpaceX logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/spacex_logo_20220826094919.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305185138.png', 'credit': 'SpaceX', 'license': {'id': 5, 'name': 'CC BY-NC 2.0', 'priority': 1, 'link': 'https://creativecommons.org/licenses/by-nc/2.0/'}, 'single_use': True, 'variants': []}","{'id': 94, 'name': 'SpaceX social logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/spacex_social_l_image_20260407054626.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/spacex_social_l_image_thumbnail_20260407054626.jpeg', 'credit': 'SpaceX', 'license': {'id': 5, 'name': 'CC BY-NC 2.0', 'priority': 1, 'link': 'https://creativecommons.org/licenses/by-nc/2.0/'}, 'single_use': True, 'variants': []}"
1,normal,147,https://lldev.thespacedevs.com/2.3.0/agencies/147/,Rocket Lab,RL,"{'id': 3, 'name': 'Commercial'}",TRUE,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]","Rocket Lab is an American aerospace manufacturer with a wholly owned New Zealand subsidiary. The company develops lightweight, cost-effective commercial rocket launch services. The Electron Program was founded on the premise that small payloads such as CubeSats require dedicated small launch vehicles and flexibility not currently offered by traditional rocket systems. Its rocket, the Electron, is a light-weight rocket and is now operating commercially. The company is also producing a variety of spacecrafts and spacecrafts components.",CEO: Peter Beck,2006,Electron,,,"{'id': 24, 'name': '[AUTO] Rocket Lab - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/rocket2520lab2520ltd_image_20190207032456.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184649.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}","{'id': 176, 'name': '[AUTO] Rocket Lab - logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/rocket2520lab2520ltd_logo_20220218075411.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305185115.png', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}","{'id': 88, 'name': '[AUTO] Rocket Lab - social_logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/rocket2520lab2520ltd_nation_20230531050352.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184840.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}"
2,normal,147,https://lldev.thespacedevs.com/2.3.0/agencies/147/,Rocket Lab,RL,"{'id': 3, 'name': 'Commercial'}",TRUE,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]","Rocket Lab is an American aerospace manufacturer with a wholly owned New Zealand subsidiary. The company develops lightweight, cost-effective commercial rocket launch services. The Electron Program was founded on the premise that small payloads such as CubeSats require dedicated small launch vehicles and flexibility not currently offered by traditional rocket systems. Its rocket, the Electron, is a light-weight rocket and is now operating commercially. The company is also producing a variety of spacecrafts and spacecrafts components.",CEO: Peter Beck,2006,Electron,,,"{'id': 24, 'name': '[AUTO] Rocket Lab - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/rocket2520lab2520ltd_image_20190207032456.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184649.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}","{'id': 176, 'name': '[AUTO] Rocket Lab - logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/rocket2520lab2520ltd_logo_20220218075411.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305185115.png', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}","{'id': 88, 'name': '[AUTO] Rocket Lab - social_logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/rocket2520lab2520ltd_nation_20230531050352.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184840.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}"
3,normal,80,https://lldev.thespacedevs.com/2.3.0/agencies/80/,Boeing,BA,"{'id': 3, 'name': 'Commercial'}",FALSE,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]",Boeing as a space agency has recently provided NASA with assistance on sending humans to the ISS from American with both their construction of the CST-100 Starliner crew capsule and their work on the SLS Avionics to return to the moon and beyond. Their ventures in GPS satellite systems and Tracking and Data Relay Satellites provide information about earth-orbiting craft to stations on the ground. They also enable research on the ISS and will be helping with the construction of the Lunar Gateway.,CEO: Kelly Ortberg,1916,SLS,Starliner,,,"{'id': 117, 'name': '[AUTO] Boeing - logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/boeing_logo_20201128183345.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184923.png', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}","{'id': 46, 'name': '[AUTO] Boeing - social_logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/boeing_nation_20230804083022.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184740.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}"
4,normal,1107,https://lldev.thespacedevs.com/2.3.0/agencies/1107/,Katalyst Space,KTLST,"{'id': 5, 'name': 'Private'}",FALSE,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]",,,2020,,LINK,,,"{'id': 2773, 'name': 'Katalyst Space logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/katalyst_space__image_20260612074331.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/katalyst_space__image_thumbnail_20260612074331.png', 'credit': 'Katalyst Space', 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': [{'id': 19, 'type': {'id': 1, 'name': 'transparent for light background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/dark_25282252_image_20260612074333.png'}, {'id': 20, 'type': {'id': 2, 'name': 'transparent for dark background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/light.png_trans_image_20260612074333.png'}]}","{'id': 2772, 'name': 'Katalyst Space social logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/katalyst_space__image_20260612074101.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/katalyst_space__image_thumbnail_20260612074101.jpeg', 'credit': 'Katalyst Space', 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}"
5,normal,178,https://lldev.thespacedevs.com/2.3.0/agencies/178/,Airbus Defence and Space,ADS,"{'id': 2, 'name': 'Multinational'}",FALSE,"[{'id': 1, 'name': 'France', 'alpha_2_code': 'FR', 'alpha_3_code': 'FRA', 'nationality_name': 'French', 'nationality_name_composed': 'Franco'}, {'id': 3, 'name': 'Italy', 'alpha_2_code': 'IT', 'alpha_3_code': 'ITA', 'nationality_name': 'Italian', 'nationality_name_composed': 'Italo'}, {'id': 4, 'name': 'Germany', 'alpha_2_code': 'DE', 'alpha_3_code': 'DEU', 'nationality_name': 'German', 'nationality_name_composed': 'Germano'}, {'id': 7, 'name': 'Spain', 'alpha_2_code': 'ES', 'alpha_3_code': 'ESP', 'nationality_name': 'Spanish', 'nationality_name_composed': 'Hispano'}, {'id': 10, 'name': 'United Kingdom', 'alpha_2_code': 'GB', 'alpha_3_code': 'GBR', 'nationality_name': 'British', 'nationality_name_composed': 'Brito'}]","Airbus Defence and Space is a division of Airbus responsible for defence and aerospace products and services. The division was formed in January 2014 during the corporate restructuring of European Aeronautic Defence and Space (EADS), and comprises the former Airbus Military, Astrium, and Cassidian divisions. It is the world's second largest space company after Boeing and one of the top ten defence companies in the world.",CEO: Michael Schoellhorn,2014,Ariane,ATV | Columbus | Orion ESM,,"{'id': 2, 'name': 'Airbus Defence and Space illustration', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250211203957.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250211203957.jpeg', 'credit': 'Airbus Defence and Space', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}","{'id': 106, 'name': 'Airbus logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus2520defence2520and2520space_logo_20190207032423.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184906.png', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': False, 'variants': [{'id': 15, 'type': {'id': 1, 'name': 'transparent for light background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204315.png'}, {'id': 16, 'type': {'id': 2, 'name': 'transparent for dark background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204317.png'}]}","{'id': 37, 'name': 'Airbus Defence and Space social logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250210154159.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250210154200.jpeg', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}"
6,normal,178,https://lldev.thespacedevs.com/2.3.0/agencies/178/,Airbus Defence and Space,ADS,"{'id': 2, 'name': 'Multinational'}",FALSE,"[{'id': 1, 'name': 'France', 'alpha_2_code': 'FR', 'alpha_3_code': 'FRA', 'nationality_name': 'French', 'nationality_name_composed': 'Franco'}, {'id': 3, 'name': 'Italy', 'alpha_2_code': 'IT', 'alpha_3_code': 'ITA', 'nationality_name': 'Italian', 'nationality_name_composed': 'Italo'}, {'id': 4, 'name': 'Germany', 'alpha_2_code': 'DE', 'alpha_3_code': 'DEU', 'nationality_name': 'German', 'nationality_name_composed': 'Germano'}, {'id': 7, 'name': 'Spain', 'alpha_2_code': 'ES', 'alpha_3_code': 'ESP', 'nationality_name': 'Spanish', 'nationality_name_composed': 'Hispano'}, {'id': 10, 'name': 'United Kingdom', 'alpha_2_code': 'GB', 'alpha_3_code': 'GBR', 'nationality_name': 'British', 'nationality_name_composed': 'Brito'}]","Airbus Defence and Space is a division of Airbus responsible for defence and aerospace products and services. The division was formed in January 2014 during the corporate restructuring of European Aeronautic Defence and Space (EADS), and comprises the former Airbus Military, Astrium, and Cassidian divisions. It is the world's second largest space company after Boeing and one of the top ten defence companies in the world.",CEO: Michael Schoellhorn,2014,Ariane,ATV | Columbus | Orion ESM,,"{'id': 2, 'name': 'Airbus Defence and Space illustration', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250211203957.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250211203957.jpeg', 'credit': 'Airbus Defence and Space', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}","{'id': 106, 'name': 'Airbus logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus2520defence2520and2520space_logo_20190207032423.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184906.png', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': False, 'variants': [{'id': 15, 'type': {'id': 1, 'name': 'transparent for light background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204315.png'}, {'id': 16, 'type': {'id': 2, 'name': 'transparent for dark background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204317.png'}]}","{'id': 37, 'name': 'Airbus Defence and Space social logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250210154159.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250210154200.jpeg', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}"
7,normal,178,https://lldev.thespacedevs.com/2.3.0/agencies/178/,Airbus Defence and Space,ADS,"{'id': 2, 'name': 'Multinational'}",FALSE,"[{'id': 1, 'name': 'France', 'alpha_2_code': 'FR', 'alpha_3_code': 'FRA', 'nationality_name': 'French', 'nationality_name_composed': 'Franco'}, {'id': 3, 'name': 'Italy', 'alpha_2_code': 'IT', 'alpha_3_code': 'ITA', 'nationality_name': 'Italian', 'nationality_name_composed': 'Italo'}, {'id': 4, 'name': 'Germany', 'alpha_2_code': 'DE', 'alpha_3_code': 'DEU', 'nationality_name': 'German', 'nationality_name_composed': 'Germano'}, {'id': 7, 'name': 'Spain', 'alpha_2_code': 'ES', 'alpha_3_code': 'ESP', 'nationality_name': 'Spanish', 'nationality_name_composed': 'Hispano'}, {'id': 10, 'name': 'United Kingdom', 'alpha_2_code': 'GB', 'alpha_3_code': 'GBR', 'nationality_name': 'British', 'nationality_name_composed': 'Brito'}]","Airbus Defence and Space is a division of Airbus responsible for defence and aerospace products and services. The division was formed in January 2014 during the corporate restructuring of European Aeronautic Defence and Space (EADS), and comprises the former Airbus Military, Astrium, and Cassidian divisions. It is the world's second largest space company after Boeing and one of the top ten defence companies in the world.",CEO: Michael Schoellhorn,2014,Ariane,ATV | Columbus | Orion ESM,,"{'id': 2, 'name': 'Airbus Defence and Space illustration', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250211203957.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250211203957.jpeg', 'credit': 'Airbus Defence and Space', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}","{'id': 106, 'name': 'Airbus logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus2520defence2520and2520space_logo_20190207032423.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184906.png', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': False, 'variants': [{'id': 15, 'type': {'id': 1, 'name': 'transparent for light background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204315.png'}, {'id': 16, 'type': {'id': 2, 'name': 'transparent for dark background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204317.png'}]}","{'id': 37, 'name': 'Airbus Defence and Space social logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250210154159.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250210154200.jpeg', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}"
8,normal,178,https://lldev.thespacedevs.com/2.3.0/agencies/178/,Airbus Defence and Space,ADS,"{'id': 2, 'name': 'Multinational'}",FALSE,"[{'id': 1, 'name': 'France', 'alpha_2_code': 'FR', 'alpha_3_code': 'FRA', 'nationality_name': 'French', 'nationality_name_composed': 'Franco'}, {'id': 3, 'name': 'Italy', 'alpha_2_code': 'IT', 'alpha_3_code': 'ITA', 'nationality_name': 'Italian', 'nationality_name_composed': 'Italo'}, {'id': 4, 'name': 'Germany', 'alpha_2_code': 'DE', 'alpha_3_code': 'DEU', 'nationality_name': 'German', 'nationality_name_composed': 'Germano'}, {'id': 7, 'name': 'Spain', 'alpha_2_code': 'ES', 'alpha_3_code': 'ESP', 'nationality_name': 'Spanish', 'nationality_name_composed': 'Hispano'}, {'id': 10, 'name': 'United Kingdom', 'alpha_2_code': 'GB', 'alpha_3_code': 'GBR', 'nationality_name': 'British', 'nationality_name_composed': 'Brito'}]","Airbus Defence and Space is a division of Airbus responsible for defence and aerospace products and services. The division was formed in January 2014 during the corporate restructuring of European Aeronautic Defence and Space (EADS), and comprises the former Airbus Military, Astrium, and Cassidian divisions. It is the world's second largest space company after Boeing and one of the top ten defence companies in the world.",CEO: Michael Schoellhorn,2014,Ariane,ATV | Columbus | Orion ESM,,"{'id': 2, 'name': 'Airbus Defence and Space illustration', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250211203957.jpg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250211203957.jpeg', 'credit': 'Airbus Defence and Space', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}","{'id': 106, 'name': 'Airbus logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus2520defence2520and2520space_logo_20190207032423.png', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305184906.png', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': False, 'variants': [{'id': 15, 'type': {'id': 1, 'name': 'transparent for light background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204315.png'}, {'id': 16, 'type': {'id': 2, 'name': 'transparent for dark background'}, 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/image_variants/airbus_logo_201_image_20250211204317.png'}]}","{'id': 37, 'name': 'Airbus Defence and Space social logo', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_20250210154159.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/airbus_defence__image_thumbnail_20250210154200.jpeg', 'credit': 'Airbus', 'license': {'id': 36, 'name': 'Airbus Image Use Policy', 'priority': 3, 'link': 'https://airbus.web.factory.eu.airbus.com/sites/g/files/jlcbta136/files/2023-11/Media%20Centre%20GCU%202017.pdf'}, 'single_use': True, 'variants': []}"
9,normal,1086,https://lldev.thespacedevs.com/2.3.0/agencies/1086/,NASA Goddard Space Flight Center,GSFC,"{'id': 1, 'name': 'Government'}",FALSE,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]","The Goddard Space Flight Center (GSFC) is a major NASA space research laboratory located northeast of Washington, D.C. in Greenbelt, Maryland, United States.",Director: Makenzie Lystrup,1959,,,National Aeronautics and Space Administration,,,
