,id,response_mode,id,url,name,families,full_name,variant
0,9063,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
1,7783,list,138,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/138/,New Glenn,"[{'response_mode': 'list', 'id': 214, 'name': 'New Glenn'}]",New Glenn,
2,7783,list,138,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/138/,New Glenn,"[{'response_mode': 'list', 'id': 214, 'name': 'New Glenn'}]",New Glenn,
3,2489,list,161,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/161/,Falcon Heavy,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}]",Falcon Heavy,Heavy
4,8811,list,173,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/173/,Pegasus XL,"[{'response_mode': 'list', 'id': 117, 'name': 'Pegasus'}]",Pegasus XL,
5,7792,list,127,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/127/,Vega-C,"[{'response_mode': 'list', 'id': 3, 'name': 'Vega'}]",Vega-C,
6,7737,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
7,8433,list,127,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/127/,Vega-C,"[{'response_mode': 'list', 'id': 3, 'name': 'Vega'}]",Vega-C,
8,169,list,121,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/121/,Ariane 62,"[{'response_mode': 'list', 'id': 59, 'name': 'Ariane'}, {'response_mode': 'list', 'id': 62, 'name': 'Ariane 6'}]",Ariane 62,62
9,7615,list,161,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/161/,Falcon Heavy,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}]",Falcon Heavy,Heavy
10,7718,list,121,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/121/,Ariane 62,"[{'response_mode': 'list', 'id': 59, 'name': 'Ariane'}, {'response_mode': 'list', 'id': 62, 'name': 'Ariane 6'}]",Ariane 62,62
11,8433,list,127,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/127/,Vega-C,"[{'response_mode': 'list', 'id': 3, 'name': 'Vega'}]",Vega-C,
12,2625,list,143,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/143/,Space Launch System (SLS),"[{'response_mode': 'list', 'id': 149, 'name': 'Space Launch System'}]",Space Launch System Block 1,Block 1
