,response_mode,id,url,name,serial_number,is_placeholder,image,in_space,time_in_space,time_docked,flights_count,mission_ends_count,status,description,spacecraft_config,fastest_turnaround
0,normal,541,https://lldev.thespacedevs.com/2.3.0/spacecraft/541/,Orion 004,004,False,"{'id': 1919, 'name': 'Orion approaching the Moon (Artemis I)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/orion_image_20231118102035.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194133.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}",False,P0D,P0D,0,0,"{'id': 5, 'name': 'Under construction'}",Orion spacecraft used for Artemis 3.,"{'response_mode': 'normal', 'id': 4, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/4/', 'name': 'Orion', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 44, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/44/', 'name': 'National Aeronautics and Space Administration', 'abbrev': 'NASA', 'type': {'id': 1, 'name': 'Government'}}, 'family': [], 'in_use': True, 'image': {'id': 1919, 'name': 'Orion approaching the Moon (Artemis I)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/orion_image_20231118102035.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194133.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}}",
1,normal,290,https://lldev.thespacedevs.com/2.3.0/spacecraft/290/,Starliner 2,2,False,"{'id': 1020, 'name': 'Boeing Starliner in orbit (OFT-2)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/boeing_starline_image_20220525180700.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305191414.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}",False,P5DT23H54M13S,P4DT18H8M,1,1,"{'id': 1, 'name': 'Active'}",The second CST-100 Starliner capsule to fly.,"{'response_mode': 'normal', 'id': 9, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/9/', 'name': 'CST-100 Starliner', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 80, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/80/', 'name': 'Boeing', 'abbrev': 'BA', 'type': {'id': 3, 'name': 'Commercial'}}, 'family': [], 'in_use': True, 'image': {'id': 1020, 'name': 'Boeing Starliner in orbit (OFT-2)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/boeing_starline_image_20220525180700.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305191414.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}}",
2,normal,540,https://lldev.thespacedevs.com/2.3.0/spacecraft/540/,Orion Integrity,003,False,"{'id': 1919, 'name': 'Orion approaching the Moon (Artemis I)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/orion_image_20231118102035.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194133.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}",False,P9DT1H32M15S,P0D,1,1,"{'id': 1, 'name': 'Active'}",Orion spacecraft used for Artemis 2.,"{'response_mode': 'normal', 'id': 4, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/4/', 'name': 'Orion', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 44, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/44/', 'name': 'National Aeronautics and Space Administration', 'abbrev': 'NASA', 'type': {'id': 1, 'name': 'Government'}}, 'family': [], 'in_use': True, 'image': {'id': 1919, 'name': 'Orion approaching the Moon (Artemis I)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/orion_image_20231118102035.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194133.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}}",
3,normal,447,https://lldev.thespacedevs.com/2.3.0/spacecraft/447/,Dream Chaser Tenacity,,False,"{'id': 1913, 'name': 'Dream Chaser Eagle on the runway', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/dream_chaser_image_20200821084247.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194124.jpeg', 'credit': 'NASA/Ken Ulbrich', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}",False,P0D,P0D,0,0,"{'id': 1, 'name': 'Active'}",First operational Dream Chaser.,"{'response_mode': 'normal', 'id': 24, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/24/', 'name': 'Dream Chaser', 'type': {'id': 3, 'name': 'Spaceplane'}, 'agency': {'response_mode': 'list', 'id': 1020, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/1020/', 'name': 'Sierra Nevada Corporation', 'abbrev': 'SNC', 'type': {'id': 3, 'name': 'Commercial'}}, 'family': [], 'in_use': True, 'image': {'id': 1913, 'name': 'Dream Chaser Eagle on the runway', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/dream_chaser_image_20200821084247.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194124.jpeg', 'credit': 'NASA/Ken Ulbrich', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}}",
4,normal,548,https://lldev.thespacedevs.com/2.3.0/spacecraft/548/,Gaganyaan G2,,False,"{'id': 1914, 'name': '[AUTO] Gaganyaan - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/gaganyaan_image_20231021132705.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194125.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}",False,P0D,P0D,0,0,"{'id': 4, 'name': 'Single Use'}",Second operational Gaganyaan capsule.,"{'response_mode': 'normal', 'id': 29, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/29/', 'name': 'Gaganyaan', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 1031, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/1031/', 'name': 'Hindustan Aeronautics Limited', 'abbrev': 'HAL', 'type': {'id': 1, 'name': 'Government'}}, 'family': [], 'in_use': True, 'image': {'id': 1914, 'name': '[AUTO] Gaganyaan - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/gaganyaan_image_20231021132705.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194125.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}}",
5,normal,549,https://lldev.thespacedevs.com/2.3.0/spacecraft/549/,Gaganyaan H1,,False,"{'id': 1914, 'name': '[AUTO] Gaganyaan - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/gaganyaan_image_20231021132705.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194125.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}",False,P0D,P0D,0,0,"{'id': 4, 'name': 'Single Use'}",Fourth operational Gaganyaan capsule. First one to carry crew.,"{'response_mode': 'normal', 'id': 29, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/29/', 'name': 'Gaganyaan', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 1031, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/1031/', 'name': 'Hindustan Aeronautics Limited', 'abbrev': 'HAL', 'type': {'id': 1, 'name': 'Government'}}, 'family': [], 'in_use': True, 'image': {'id': 1914, 'name': '[AUTO] Gaganyaan - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/gaganyaan_image_20231021132705.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194125.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}}",
6,normal,547,https://lldev.thespacedevs.com/2.3.0/spacecraft/547/,Gaganyaan G1,,False,"{'id': 1914, 'name': '[AUTO] Gaganyaan - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/gaganyaan_image_20231021132705.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194125.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}",False,P0D,P0D,0,0,"{'id': 4, 'name': 'Single Use'}",First operational Gaganyaan capsule.,"{'response_mode': 'normal', 'id': 29, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/29/', 'name': 'Gaganyaan', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 1031, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/1031/', 'name': 'Hindustan Aeronautics Limited', 'abbrev': 'HAL', 'type': {'id': 1, 'name': 'Government'}}, 'family': [], 'in_use': True, 'image': {'id': 1914, 'name': '[AUTO] Gaganyaan - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/gaganyaan_image_20231021132705.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194125.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}}",
7,normal,558,https://lldev.thespacedevs.com/2.3.0/spacecraft/558/,X-37B 1,1,False,"{'id': 1940, 'name': '[AUTO] X-37B - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/x-37b_image_20221113134355.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194208.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}",True,P2139DT2H45M34S,P0D,4,3,"{'id': 1, 'name': 'Active'}","First X-37B. First flight on April 22, 2010.","{'response_mode': 'normal', 'id': 30, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/30/', 'name': 'X-37B', 'type': {'id': 3, 'name': 'Spaceplane'}, 'agency': {'response_mode': 'list', 'id': 80, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/80/', 'name': 'Boeing', 'abbrev': 'BA', 'type': {'id': 3, 'name': 'Commercial'}}, 'family': [], 'in_use': True, 'image': {'id': 1940, 'name': '[AUTO] X-37B - image', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/x-37b_image_20221113134355.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305194208.jpeg', 'credit': None, 'license': {'id': 1, 'name': 'Unknown', 'priority': 9, 'link': None}, 'single_use': True, 'variants': []}}",P739DT8H47M
8,normal,452,https://lldev.thespacedevs.com/2.3.0/spacecraft/452/,Crew Dragon,TBD,True,"{'id': 1181, 'name': 'Crew Dragon docking', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/spacex_dm-2_cre_image_20200504065311.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305191923.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}",False,P0D,P0D,0,0,"{'id': 1, 'name': 'Active'}",The specific spacecraft for this launch is currently unknown.,"{'response_mode': 'normal', 'id': 6, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/6/', 'name': 'Crew Dragon 2', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 121, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/121/', 'name': 'SpaceX', 'abbrev': 'SpX', 'type': {'id': 3, 'name': 'Commercial'}}, 'family': [{'response_mode': 'normal', 'id': 6, 'name': 'Dragon', 'description': 'Dragon is a family of spacecraft developed and produced by American private space transportation company SpaceX.', 'manufacturer': {'response_mode': 'list', 'id': 121, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/121/', 'name': 'SpaceX', 'abbrev': 'SpX', 'type': {'id': 3, 'name': 'Commercial'}}, 'parent': None, 'maiden_flight': '2010-12-08'}, {'response_mode': 'normal', 'id': 7, 'name': 'Dragon 2', 'description': 'Dragon 2 is a family of spacecraft developed and produced by American private space transportation company SpaceX. It was redesigned for human spaceflight, and is capable of docking to the ISS.', 'manufacturer': {'response_mode': 'list', 'id': 121, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/121/', 'name': 'SpaceX', 'abbrev': 'SpX', 'type': {'id': 3, 'name': 'Commercial'}}, 'parent': {'response_mode': 'list', 'id': 6, 'name': 'Dragon'}, 'maiden_flight': '2019-03-02'}], 'in_use': True, 'image': {'id': 1181, 'name': 'Crew Dragon docking', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/spacex_dm-2_cre_image_20200504065311.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/255bauto255d__image_thumbnail_20240305191923.jpeg', 'credit': 'NASA', 'license': {'id': 4, 'name': 'NASA Image and Media Guidelines', 'priority': 0, 'link': 'https://www.nasa.gov/nasa-brand-center/images-and-media/'}, 'single_use': False, 'variants': []}}",
9,normal,612,https://lldev.thespacedevs.com/2.3.0/spacecraft/612/,Soyuz MS-28,11F732 #759,False,"{'id': 967, 'name': 'Soyuz MS in orbit (MS-19)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/soyuz_ms_in_orb_image_20240313130407.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/soyuz_ms_in_orb_image_thumbnail_20240313130407.jpeg', 'credit': 'ESA/NASA/T. Pesquet', 'license': {'id': 2, 'name': 'ESA Standard Licence', 'priority': 2, 'link': 'https://www.esa.int/ESA_Multimedia/Terms_and_conditions_of_use_of_images_and_videos_available_on_the_esa_website'}, 'single_use': False, 'variants': []}",True,P233DT16H14M49S,P233DT13H8M46S,1,0,"{'id': 1, 'name': 'Active'}",Soyuz capsule for the MS-28 mission to the ISS.,"{'response_mode': 'normal', 'id': 38, 'url': 'https://lldev.thespacedevs.com/2.3.0/spacecraft_configurations/38/', 'name': 'Soyuz MS', 'type': {'id': 2, 'name': 'Capsule'}, 'agency': {'response_mode': 'list', 'id': 63, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/63/', 'name': 'Russian Federal Space Agency (ROSCOSMOS)', 'abbrev': 'RFSA', 'type': {'id': 1, 'name': 'Government'}}, 'family': [{'response_mode': 'normal', 'id': 1, 'name': 'Soyuz', 'description': 'Soyuz is a series of spacecraft which has been in service since the 1960s, having made more than 140 flights. It was designed for the Soviet space program by the Korolev Design Bureau (now Energia).', 'manufacturer': {'response_mode': 'list', 'id': 1000, 'url': 'https://lldev.thespacedevs.com/2.3.0/agencies/1000/', 'name': 'Energia', 'abbrev': 'OKB-1', 'type': {'id': 1, 'name': 'Government'}}, 'parent': None, 'maiden_flight': '1966-11-28'}], 'in_use': True, 'image': {'id': 967, 'name': 'Soyuz MS in orbit (MS-19)', 'image_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/soyuz_ms_in_orb_image_20240313130407.jpeg', 'thumbnail_url': 'https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/soyuz_ms_in_orb_image_thumbnail_20240313130407.jpeg', 'credit': 'ESA/NASA/T. Pesquet', 'license': {'id': 2, 'name': 'ESA Standard Licence', 'priority': 2, 'link': 'https://www.esa.int/ESA_Multimedia/Terms_and_conditions_of_use_of_images_and_videos_available_on_the_esa_website'}, 'single_use': False, 'variants': []}}",
